game,missing_queen,missing_rook,missing_bishop,missing_knight,missing_two_pawns,black_missing_queen,black_missing_rook,timestamp
20,-0.9618,-0.3927,+0.0296,+0.0475,+0.0283,+0.0613,+0.0134,2026-09-02 03:04:46
40,-0.9585,-0.4246,-0.0505,-0.1356,+0.0130,-0.0661,+0.0157,2026-09-02 03:19:30
60,-0.9189,-0.7394,-0.0126,-0.0565,+0.0754,+0.3082,+0.0436,2026-09-02 03:40:26
80,-0.9979,-0.8772,-0.1405,-0.1798,+0.1580,+0.0086,+0.0302,2026-09-02 03:53:48
100,-0.9479,-0.5130,+0.0847,+0.0588,+0.1593,+0.1602,+0.0806,2026-09-02 04:13:45
120,-0.9635,-0.3051,+0.0322,+0.0283,+0.0604,+0.2398,+0.0424,2026-09-02 04:31:37
140,-0.9954,-0.9694,-0.4494,-0.4184,+0.0004,+0.1822,+0.0759,2026-09-02 04:50:08
160,-0.9039,-0.3688,+0.0347,+0.0261,+0.0642,+0.2305,+0.0704,2026-09-02 05:07:33
180,-0.8729,-0.2352,+0.0620,+0.0652,+0.0713,+0.2301,+0.0589,2026-09-02 05:21:58
200,-0.9900,-0.9440,+0.0832,+0.0499,+0.0321,+0.3344,+0.0597,2026-09-02 05:41:10
220,-0.9810,-0.6833,+0.0225,-0.0357,+0.2324,+0.0774,+0.0698,2026-09-02 05:53:48
240,-0.9523,-0.4127,+0.0230,+0.0302,+0.0294,+0.2046,+0.0889,2026-09-02 06:08:59
260,-0.9426,-0.4581,-0.0093,-0.0356,+0.0441,+0.2388,+0.1544,2026-09-02 06:22:44
280,-0.9939,-0.9155,-0.7059,-0.7543,-0.1088,+0.1798,+0.0830,2026-09-02 06:37:40
300,-0.8992,-0.6773,+0.0385,+0.0455,+0.0557,+0.3732,+0.0332,2026-09-02 06:56:53
320,-0.9124,-0.7552,+0.0459,+0.0485,+0.0672,+0.1828,+0.0227,2026-09-02 07:12:55
340,-0.9468,-0.8985,-0.2782,-0.4225,-0.0192,+0.0340,+0.0991,2026-09-02 07:31:27
360,-0.8026,-0.3048,+0.0256,+0.0047,+0.0761,-0.0490,+0.0814,2026-09-02 07:49:12
380,-0.9067,-0.8316,+0.0532,-0.0124,+0.1528,+0.0239,+0.1028,2026-09-02 08:04:30
400,-0.7201,-0.3181,+0.0327,+0.0079,+0.0361,+0.0082,+0.0342,2026-09-02 08:22:51
420,-0.8956,-0.2335,-0.0169,-0.0567,-0.0688,+0.1153,-0.0261,2026-09-02 08:36:22
440,-0.9312,-0.9194,+0.0428,-0.1035,-0.0237,+0.1929,+0.1136,2026-09-02 08:56:31
460,-0.8939,-0.7115,+0.0649,-0.0730,+0.0075,+0.2597,+0.0629,2026-09-02 09:29:23
480,-0.9788,-0.8158,+0.0792,+0.0620,+0.0284,+0.0787,+0.0737,2026-09-02 09:58:18
500,-0.7640,-0.4788,+0.0177,+0.0424,+0.0308,+0.0776,+0.1000,2026-09-02 10:22:07
520,-0.8413,-0.5371,+0.0467,+0.0605,+0.0664,+0.1726,+0.0641,2026-09-02 10:41:58
540,-0.9454,-0.8252,+0.0846,+0.0613,+0.0488,+0.2985,+0.1391,2026-09-02 10:59:20
560,-0.9831,-0.7319,+0.0255,+0.0233,+0.0482,+0.1618,+0.0711,2026-09-02 11:25:51
580,-0.9211,-0.1942,+0.0864,+0.0792,+0.1325,+0.3132,+0.1155,2026-09-02 11:57:48
600,-0.9806,-0.7208,-0.1989,-0.2491,-0.0658,+0.0973,+0.0397,2026-09-02 12:14:00
620,-0.9093,-0.7566,+0.0530,+0.0835,+0.0481,+0.0165,+0.0324,2026-09-02 12:32:41
640,-0.9228,-0.6323,+0.0058,+0.0014,+0.0238,+0.0547,+0.0598,2026-09-02 12:54:46
660,-0.9191,-0.6704,-0.0046,-0.2652,+0.0349,+0.2910,+0.0746,2026-09-02 13:23:50
680,-0.4835,-0.2976,+0.0420,+0.0193,+0.0340,+0.1427,+0.0338,2026-09-02 13:49:20
700,-0.9001,-0.5810,+0.0426,+0.0134,+0.0499,+0.1308,+0.1373,2026-09-02 14:14:41
