game,moves
1,b2b3 g7g5 e2e3 f7f6 d1h5
2,g2g3 f7f5 e2e4 f5e4 b2b4 h7h6 d1h5 g7g6 h5g5 h6g5 f2f3 h8h2
3,f2f3 d7d5 c2c3 e7e6 e1f2 b7b5 h2h3 f8d6 f3f4 g7g6 c3c4 d8f6
4,b1a3 g8f6 a3b1 b8a6 h2h3 a8b8 b2b3 f6d5 g1f3 d7d6 h3h4 f7f5
5,a2a4 c7c5 c2c3 c5c4 a1a3 g7g6 b2b4 c4b3 f2f3 b8c6 d2d3 b7b6
6,g1h3 f7f5 h3f4 d7d5 a2a4 b7b5 e2e3 h7h6 f1c4 e8f7 g2g4 g7g5
7,b2b3 h7h6 b1a3 b8c6 g1h3 g7g5 h3g5 h6g5 a1b1 d7d5 c1b2 d5d4
8,h2h3 a7a5 b1c3 d7d6 a2a4 b7b5 c3b5 g7g5 a1a3 g8f6 b2b3 f6d7
9,b1a3 c7c6 d2d4 g7g6 g2g3 f7f5 g1f3 h7h5 a1b1 b7b6 b1a1 d8c7
10,e2e3 b7b5 g2g4 a7a5 h2h3 b5b4 c2c3 a8a7 b2b3 c7c5 d1e2 b8a6
11,a2a4 b7b5 a4b5 e7e5 a1a6 d7d5 b5b6 f8b4 b6c7 b8a6 g2g3 a6c7
12,b2b3 b7b5 e2e3 a7a5 f2f3 c7c6 b1c3 a5a4 e1e2 d7d5 d1e1 f7f5
13,e2e4 g7g5 h2h4 b8c6 g1f3 e7e5 d2d4 f8c5 g2g4 a7a6 e1d2 f7f6
14,a2a4 e7e6 c2c3 g7g6 a4a5 b8c6 f2f3 g8e7 e2e3 h7h6 a1a2 h8h7
15,d2d4 e7e6 h2h3 d7d5 c1g5 d8g5 d1d3 g8e7 f2f4 g5f4 g2g3 e8d7
16,b2b4 f7f5 g2g4 b7b6 a2a4 b8a6 e2e4 b6b5 f1g2 g7g6 a4a5 f5e4
17,c2c3 a7a5 c3c4 c7c6 h2h3 a5a4 d2d3 d7d6 c4c5 b8d7 b1a3 d6c5
18,b2b4 c7c5 d2d4 d7d6 e2e3 b7b6 d1e2 d8c7 c2c4 c8g4 f2f3 e7e6
19,d2d3 e7e6 h2h4 d7d5 g2g4 g8e7 b1c3 d5d4 e1d2 b8c6 g4g5 c6a5
20,a2a4 e7e6 b2b4 f8b4 a4a5 b8a6 a1a2 d7d5 g1h3 h7h6 c2c4 h6h5
21,a2a4 e7e6 g1h3 b8c6 c2c4 g7g5 h3g5 e8e7 e2e3 a7a5 g2g4 a8a6
22,h2h4 a7a5 f2f3 f7f5 b2b3 e8f7 e2e3 d7d5 c2c4 c7c5 d2d3 f5f4
23,b2b3 a7a5 a2a4 b7b6 b1a3 b6b5 d2d3 f7f5 a4b5 g7g6 b5b6 d7d6
24,b1c3 b7b5 a2a4 a7a5 c3d5 b5b4 a1b1 b8a6 d5c7 d8c7 c2c4 d7d5
25,f2f3 d7d5 a2a4 a7a6 f3f4 g7g6 b2b3 c8d7 a1a3 e7e5 e2e4 h7h5
26,b2b4 c7c5 e2e3 g8h6 d2d4 b8c6 g1e2 g7g5 f2f3 f7f6 b4b5 c6d4
27,g2g3 f7f5 d2d3 e8f7 e2e3 b7b6 c2c4 c7c6 a2a3 c6c5 b1c3 e7e5
28,a2a4 e7e5 g1h3 g8e7 b1c3 d7d5 h1g1 e5e4 h3g5 b8d7 g5e4 a7a6
29,b2b4 a7a5 b1c3 b7b5 g1f3 a5a4 d2d4 c7c6 c3b5 b8a6 e1d2 g7g5
30,e2e3 b8c6 f2f3 h7h5 d2d3 d7d6 e3e4 d6d5 a2a4 g8f6 g1e2 g7g6
31,e2e3 h7h6 g2g4 b7b6 d2d3 c8b7 b2b4 g7g6 e3e4 c7c5 b4c5 b6c5
32,b2b3 b7b5 c2c4 a7a5 f2f3 d7d5 e2e3 c7c6 e1f2 a8a6 e3e4 d5d4
33,e2e3 h7h6 h2h3 h6h5 d2d4 b7b5 f1b5 c7c5 b1a3 c5d4 e3d4 h8h7
34,a2a4 d7d5 b2b4 b7b5 a4a5 b8a6 f2f4 c7c6 b1c3 c8d7 c1a3 a6c7
