game,white_wins,black_wins,draws,avg_loss,avg_game_length,len_0_20,len_21_40,len_41_60,len_61_80,len_81plus,steps,timestamp
50,7,10,0,0.142334,64.8,0,5,3,3,6,250,2026-08-18 12:07:09
100,24,23,0,0.123821,67.2,1,4,15,17,10,500,2026-08-18 13:14:57
150,3,3,0,0.158403,39.3,1,1,4,0,0,750,2026-08-19 03:24:31
200,19,27,4,0.170247,66.7,3,5,15,15,12,1000,2026-08-19 04:15:14
250,23,26,1,0.168874,65.3,2,9,18,11,10,1250,2026-08-19 05:02:01
300,22,28,0,0.191329,65.7,3,4,20,12,11,1500,2026-08-19 05:51:22
350,28,20,2,0.219142,66.9,2,6,16,13,13,1750,2026-08-19 06:34:58
400,24,26,0,0.245133,54.1,2,16,16,11,5,2000,2026-08-19 07:14:38
450,27,21,2,0.286946,68.0,1,9,19,7,14,2250,2026-08-19 08:05:12
500,20,26,4,0.313665,68.9,2,4,18,10,16,2500,2026-08-19 08:55:00
550,23,25,2,0.337941,73.3,2,5,16,10,17,2750,2026-08-19 09:51:30
600,21,28,1,0.368985,63.9,3,7,12,15,13,3000,2026-08-19 10:38:52
650,30,18,2,0.391160,71.8,1,7,13,13,16,3250,2026-08-19 11:39:36
700,31,18,1,0.423873,60.2,1,9,18,13,9,3500,2026-08-19 12:30:36
750,30,20,0,0.457361,58.5,2,10,21,8,9,3750,2026-08-19 13:23:56
800,21,29,0,0.472119,56.7,0,16,16,8,10,4000,2026-08-19 14:12:26
850,27,22,1,0.505468,67.9,0,6,18,18,8,4250,2026-08-19 15:04:49
900,30,18,2,0.515184,60.3,4,13,12,10,11,4500,2026-08-19 15:59:04
950,30,18,2,0.552903,60.1,3,8,22,10,7,4750,2026-08-19 16:59:47
1000,9,6,0,0.580020,48.3,2,2,6,5,0,5000,2026-08-21 00:27:00
1050,21,26,3,0.587220,61.8,2,10,16,11,11,5250,2026-08-21 01:13:23
1100,31,19,0,0.572727,67.8,1,8,16,11,14,5500,2026-08-21 02:01:37
1150,28,22,0,0.571433,60.2,1,8,17,15,9,5750,2026-08-21 02:47:19
1200,25,23,2,0.569000,70.2,1,5,14,16,14,6000,2026-08-21 03:36:15
1250,22,27,1,0.583692,69.4,1,4,20,11,14,6250,2026-08-21 04:23:00
1300,27,23,0,0.570431,65.9,1,10,17,11,11,6500,2026-08-21 05:16:29
1350,29,20,1,0.561905,67.2,1,8,19,8,14,6750,2026-08-21 06:02:20
1400,28,21,1,0.555707,64.1,2,4,19,14,11,7000,2026-08-21 06:49:00
1450,22,27,1,0.571448,61.7,5,7,18,10,10,7250,2026-08-21 07:35:25
1500,22,24,4,0.578465,65.3,3,7,19,10,11,7500,2026-08-21 08:23:05
1550,30,18,2,0.562824,64.2,3,7,15,15,10,7750,2026-08-21 09:18:06
1600,19,19,0,0.538576,57.4,0,10,9,15,4,8000,2026-08-22 02:51:01
1650,29,20,1,0.571988,57.9,3,10,18,12,7,8250,2026-08-22 03:36:13
1700,19,31,0,0.563864,65.2,2,9,19,7,13,8500,2026-08-22 04:19:20
1750,25,25,0,0.562299,66.3,2,9,15,11,13,8750,2026-08-22 05:09:16
1800,20,29,1,0.548473,59.7,2,14,15,8,11,9000,2026-08-22 05:48:07
1850,25,25,0,0.537918,62.7,0,6,24,12,8,9250,2026-08-22 06:35:45
1900,30,19,1,0.562823,59.2,4,6,19,13,8,9500,2026-08-22 07:15:27
1950,28,21,1,0.541482,67.2,2,9,13,10,16,9750,2026-08-22 08:06:16
2000,24,26,0,0.556103,73.8,1,5,15,11,18,10000,2026-08-22 09:02:53
2050,25,25,0,0.549025,64.6,1,15,8,14,12,10250,2026-08-22 10:08:05
2100,21,27,2,0.560698,73.4,0,5,14,16,15,10500,2026-08-22 11:16:17
2150,10,15,0,0.548091,52.0,2,3,12,7,1,10750,2026-08-23 05:37:18
2200,21,29,0,0.548937,62.6,0,7,17,16,10,11000,2026-08-23 06:20:10
2250,27,20,3,0.553597,68.6,2,6,17,13,12,11250,2026-08-23 07:14:15
2300,18,31,1,0.542940,68.4,2,8,13,12,15,11500,2026-08-23 08:00:34
2350,25,24,1,0.551654,66.3,2,8,14,13,13,11750,2026-08-23 08:50:59
2400,22,27,1,0.537156,68.8,1,4,21,11,13,12000,2026-08-23 09:39:58
2450,26,21,3,0.546297,68.0,1,10,12,17,10,12250,2026-08-23 10:33:05
