game,white_wins,black_wins,draws,avg_loss,avg_game_length,len_0_20,len_21_40,len_41_60,len_61_80,len_81plus,steps,timestamp
50,7,10,0,0.142334,64.8,0,5,3,3,6,250,2026-08-18 12:07:09
100,24,23,0,0.123821,67.2,1,4,15,17,10,500,2026-08-18 13:14:57
150,3,3,0,0.158403,39.3,1,1,4,0,0,750,2026-08-19 03:24:31
200,19,27,4,0.170247,66.7,3,5,15,15,12,1000,2026-08-19 04:15:14
250,23,26,1,0.168874,65.3,2,9,18,11,10,1250,2026-08-19 05:02:01
300,22,28,0,0.191329,65.7,3,4,20,12,11,1500,2026-08-19 05:51:22
350,28,20,2,0.219142,66.9,2,6,16,13,13,1750,2026-08-19 06:34:58
400,24,26,0,0.245133,54.1,2,16,16,11,5,2000,2026-08-19 07:14:38
450,27,21,2,0.286946,68.0,1,9,19,7,14,2250,2026-08-19 08:05:12
500,20,26,4,0.313665,68.9,2,4,18,10,16,2500,2026-08-19 08:55:00
550,23,25,2,0.337941,73.3,2,5,16,10,17,2750,2026-08-19 09:51:30
600,21,28,1,0.368985,63.9,3,7,12,15,13,3000,2026-08-19 10:38:52
650,30,18,2,0.391160,71.8,1,7,13,13,16,3250,2026-08-19 11:39:36
700,31,18,1,0.423873,60.2,1,9,18,13,9,3500,2026-08-19 12:30:36
750,30,20,0,0.457361,58.5,2,10,21,8,9,3750,2026-08-19 13:23:56
800,21,29,0,0.472119,56.7,0,16,16,8,10,4000,2026-08-19 14:12:26
850,27,22,1,0.505468,67.9,0,6,18,18,8,4250,2026-08-19 15:04:49
900,30,18,2,0.515184,60.3,4,13,12,10,11,4500,2026-08-19 15:59:04
950,30,18,2,0.552903,60.1,3,8,22,10,7,4750,2026-08-19 16:59:47
