game,moves
1,a2a4 g8f6 b1c3 g7g6 a1b1 e7e5 e2e4 h7h5 h2h3 h8g8 f2f3 f8g7
2,g2g4 d7d5 g4g5 f7f5 g5f6 e7e5 g1h3 f8e7 h1g1 g8f6 g1g5 h7h6
3,e2e4 g8f6 a2a4 e7e6 e1e2 f6e4 b2b4 h7h6 d2d4 d8e7 h2h3 e4d6
4,g1h3 a7a6 d2d4 e7e5 e2e4 e5d4 d1d4 g8f6 a2a3 f6e4 g2g4 b7b5
5,d2d4 b8c6 e2e4 d7d5 b1d2 d8d7 e1e2 e8d8 a2a4 e7e6 f2f4 d5e4
6,g1h3 b7b6 d2d4 g7g5 e2e3 c7c5 h3g1 g8h6 e3e4 c5d4 g2g3 h6g4
7,g2g4 f7f5 g1h3 g7g6 d2d4 h7h5 g4f5 g6f5 d4d5 h8h7 c1g5 c7c6
8,g2g3 d7d6 b2b4 g7g6 e2e3 h7h5 c2c4 h8h7 d2d4 d6d5 g1f3 b7b5
9,a2a4 e7e6 b1c3 b7b6 e2e4 f7f5 g1e2 d8f6 h2h3 d7d5 e4f5 e8d7
10,g2g4 d7d5 g4g5 g7g6 e2e3 e7e6 c2c4 b7b5 b1a3 g8e7 b2b4 h7h5
11,d2d4 a7a5 g1f3 g7g5 e1d2 e7e5 e2e3 b7b5 c2c4 e8e7 d4e5 f8g7
12,a2a4 b7b5 a4a5 b5b4 e2e3 g7g5 g2g3 f8g7 h2h4 e8f8 a1a4 c7c5
13,b2b4 b8c6 b4b5 g7g6 g2g4 c6e5 f1g2 a7a5 e1f1 a8a7 g1h3 h7h6
14,b2b4 b8c6 b4b5 g7g6 b5c6 b7c6 g1f3 g8f6 e2e4 c8b7 c2c3 f8h6
15,e2e4 e7e6 f1c4 g8f6 b2b3 d7d5 c4d5 e6e5 g1f3 c7c6 g2g3 e8e7
16,b1a3 d7d5 f2f4 g7g6 h2h4 d5d4 e1f2 c8e6 f2f3 f7f6 b2b3 h7h6
17,g2g4 e7e5 b2b4 h7h6 g1h3 d7d5 f2f3 f8d6 c2c4 b8c6 f1g2 c8g4
18,b2b4 h7h5 g2g3 g7g6 h2h3 g6g5 f1g2 b7b5 b1a3 a7a6 d2d3 d7d5
19,e2e4 g8f6 g1f3 h7h5 h2h3 e7e6 a2a4 h8g8 e4e5 b7b5 f1b5 b8a6
20,e2e4 e7e5 g1f3 a7a5 f1e2 c7c5 d2d4 e5d4 e4e5 h7h6 c1f4 b7b5
