game,missing_queen,missing_rook,missing_bishop,missing_knight,missing_two_pawns,black_missing_queen,black_missing_rook,timestamp
20,+0.0085,-0.5750,+0.0632,+0.0649,+0.0396,+0.0320,-0.0797,2026-08-25 11:54:51
40,-0.2652,-0.7579,+0.0131,+0.0059,-0.0641,+0.2300,-0.0808,2026-08-25 12:12:46
60,-0.0730,-0.2299,+0.0195,+0.0183,-0.0002,+0.0181,-0.0238,2026-08-25 12:35:41
80,-0.4443,-0.4989,+0.0270,+0.0312,-0.0315,+0.0640,-0.0273,2026-08-25 12:53:37
100,-0.3794,-0.5122,+0.0202,+0.0159,-0.1487,+0.3531,+0.0045,2026-08-25 13:16:58
120,-0.8466,-0.8011,-0.0122,+0.0300,-0.1723,+0.2169,-0.0205,2026-08-25 13:38:27
140,-0.6622,-0.5871,+0.0322,+0.0454,+0.0350,+0.0524,+0.0477,2026-08-25 13:49:45
160,-0.0648,-0.4968,+0.0178,+0.0403,+0.0033,+0.1634,+0.0560,2026-08-25 14:04:51
180,-0.0374,-0.2453,-0.0106,+0.0080,+0.0076,+0.1477,+0.0267,2026-08-25 14:25:02
200,-0.0736,-0.0546,-0.0512,-0.0271,-0.0497,+0.0024,+0.0203,2026-08-25 14:42:20
220,-0.3027,-0.4892,-0.0030,+0.0200,-0.0525,+0.0755,+0.0014,2026-08-25 15:04:25
240,-0.2771,-0.8440,-0.0177,-0.0095,-0.0111,+0.0753,+0.0198,2026-08-25 15:19:38
260,-0.1464,-0.7896,-0.0401,-0.0206,-0.0486,+0.0470,+0.0219,2026-08-25 15:33:45
280,-0.1666,-0.3995,-0.0233,-0.0243,-0.0362,+0.0871,+0.0246,2026-08-25 15:50:47
300,-0.2132,-0.4344,+0.0100,+0.0137,-0.0679,+0.3342,-0.0036,2026-08-25 16:03:52
320,-0.3193,-0.3018,+0.0108,+0.0133,+0.0141,+0.7799,+0.0779,2026-08-25 16:20:07
340,-0.7735,-0.4218,-0.0191,+0.0468,+0.0367,+0.2676,+0.0398,2026-08-25 16:41:40
360,-0.2042,-0.0299,-0.0061,+0.0033,-0.0795,-0.0041,+0.0516,2026-08-25 17:05:44
380,-0.5988,-0.6988,+0.0126,+0.0176,+0.0100,-0.0001,-0.0397,2026-08-25 17:28:18
400,-0.1529,-0.3930,+0.0030,+0.0105,+0.0021,+0.6818,+0.0045,2026-08-25 17:56:05
420,-0.4951,-0.3762,+0.0724,+0.1255,+0.1485,+0.0879,+0.1043,2026-08-25 18:16:44
440,-0.3641,-0.3817,+0.0215,+0.0198,+0.0215,+0.0054,-0.1617,2026-08-25 18:37:05
460,-0.5754,-0.5905,-0.0552,-0.0157,-0.0213,-0.0169,-0.0868,2026-08-25 18:56:33
480,-0.6428,-0.6784,+0.0076,-0.0008,-0.0405,-0.1015,-0.1705,2026-08-25 19:19:33
500,-0.3319,-0.5576,-0.0029,-0.0035,-0.0122,-0.0697,-0.0910,2026-08-25 19:43:51
520,-0.6558,-0.8603,-0.0115,+0.0255,-0.0088,+0.3073,-0.0392,2026-08-26 01:26:29
540,-0.0615,-0.7907,+0.0313,+0.0323,+0.0128,+0.0388,-0.0214,2026-08-26 01:44:56
560,-0.2572,-0.4783,-0.0216,-0.0190,+0.0011,+0.0209,-0.1522,2026-08-26 02:09:15
580,-0.6497,-0.9102,+0.0157,+0.0155,-0.0596,+0.1754,-0.3203,2026-08-26 02:33:41
