game,missing_queen,missing_rook,missing_bishop,missing_knight,missing_two_pawns,black_missing_queen,black_missing_rook,timestamp
20,-0.6614,-0.5749,-0.1222,+0.0031,-0.3544,+0.8378,+0.4892,2026-09-04 01:14:05
40,-0.6260,-0.5197,-0.1216,+0.0238,-0.3685,+0.8489,+0.5244,2026-09-04 01:37:03
60,-0.6165,-0.5206,-0.1348,+0.0411,-0.3205,+0.8537,+0.5405,2026-09-04 01:57:10
80,-0.6341,-0.5345,-0.1422,+0.0653,-0.3464,+0.8282,+0.5339,2026-09-04 02:15:29
100,-0.6401,-0.5554,-0.1133,-0.0348,-0.3340,+0.8282,+0.4935,2026-09-04 02:31:45
120,-0.6413,-0.5915,-0.1735,-0.0292,-0.3649,+0.8478,+0.5240,2026-09-04 02:50:04
140,-0.6301,-0.5716,-0.1598,+0.0056,-0.3693,+0.8364,+0.4915,2026-09-04 03:11:11
160,-0.6294,-0.5284,-0.1450,+0.0182,-0.3753,+0.8471,+0.5337,2026-09-04 03:30:57
180,-0.6120,-0.5214,-0.0471,+0.0042,-0.3441,+0.8501,+0.5129,2026-09-04 03:50:31
200,-0.5784,-0.5227,-0.0682,+0.0170,-0.2935,+0.8489,+0.5288,2026-09-04 04:09:05
220,-0.5777,-0.4960,-0.1160,+0.0181,-0.3067,+0.8431,+0.5392,2026-09-04 04:24:47
240,-0.6144,-0.5095,-0.1052,+0.0166,-0.3363,+0.8521,+0.5291,2026-09-04 04:42:02
260,-0.6353,-0.5860,-0.1273,-0.0279,-0.3564,+0.8447,+0.5272,2026-09-04 05:05:14
280,-0.6088,-0.5349,-0.0770,-0.0109,-0.3501,+0.8380,+0.5030,2026-09-04 05:25:50
300,-0.6205,-0.4907,-0.0783,+0.0685,-0.3440,+0.8451,+0.5378,2026-09-04 05:43:39
320,-0.6064,-0.4918,-0.0839,+0.0466,-0.3099,+0.8189,+0.4841,2026-09-04 06:05:39
340,-0.6296,-0.4975,-0.0997,+0.0101,-0.3604,+0.8305,+0.4915,2026-09-04 06:23:46
360,-0.6393,-0.5064,-0.1166,-0.0122,-0.4150,+0.8411,+0.4879,2026-09-04 06:42:15
380,-0.6226,-0.5064,-0.1147,+0.0028,-0.3694,+0.8195,+0.4880,2026-09-04 07:02:23
400,-0.6110,-0.5140,-0.1139,+0.0117,-0.3494,+0.8248,+0.4932,2026-09-04 07:25:39
420,-0.6253,-0.5072,-0.0992,+0.0268,-0.3199,+0.8347,+0.5275,2026-09-04 07:49:20
