game,missing_queen,missing_rook,missing_bishop,missing_knight,missing_two_pawns,black_missing_queen,black_missing_rook,timestamp
20,-0.6614,-0.5749,-0.1222,+0.0031,-0.3544,+0.8378,+0.4892,2026-09-04 01:14:05
40,-0.6260,-0.5197,-0.1216,+0.0238,-0.3685,+0.8489,+0.5244,2026-09-04 01:37:03
60,-0.6165,-0.5206,-0.1348,+0.0411,-0.3205,+0.8537,+0.5405,2026-09-04 01:57:10
80,-0.6341,-0.5345,-0.1422,+0.0653,-0.3464,+0.8282,+0.5339,2026-09-04 02:15:29
100,-0.6401,-0.5554,-0.1133,-0.0348,-0.3340,+0.8282,+0.4935,2026-09-04 02:31:45
120,-0.6413,-0.5915,-0.1735,-0.0292,-0.3649,+0.8478,+0.5240,2026-09-04 02:50:04
140,-0.6301,-0.5716,-0.1598,+0.0056,-0.3693,+0.8364,+0.4915,2026-09-04 03:11:11
160,-0.6294,-0.5284,-0.1450,+0.0182,-0.3753,+0.8471,+0.5337,2026-09-04 03:30:57
180,-0.6120,-0.5214,-0.0471,+0.0042,-0.3441,+0.8501,+0.5129,2026-09-04 03:50:31
200,-0.5784,-0.5227,-0.0682,+0.0170,-0.2935,+0.8489,+0.5288,2026-09-04 04:09:05
220,-0.5777,-0.4960,-0.1160,+0.0181,-0.3067,+0.8431,+0.5392,2026-09-04 04:24:47
240,-0.6144,-0.5095,-0.1052,+0.0166,-0.3363,+0.8521,+0.5291,2026-09-04 04:42:02
260,-0.6353,-0.5860,-0.1273,-0.0279,-0.3564,+0.8447,+0.5272,2026-09-04 05:05:14
280,-0.6088,-0.5349,-0.0770,-0.0109,-0.3501,+0.8380,+0.5030,2026-09-04 05:25:50
300,-0.6205,-0.4907,-0.0783,+0.0685,-0.3440,+0.8451,+0.5378,2026-09-04 05:43:39
320,-0.6064,-0.4918,-0.0839,+0.0466,-0.3099,+0.8189,+0.4841,2026-09-04 06:05:39
340,-0.6296,-0.4975,-0.0997,+0.0101,-0.3604,+0.8305,+0.4915,2026-09-04 06:23:46
360,-0.6393,-0.5064,-0.1166,-0.0122,-0.4150,+0.8411,+0.4879,2026-09-04 06:42:15
380,-0.6226,-0.5064,-0.1147,+0.0028,-0.3694,+0.8195,+0.4880,2026-09-04 07:02:23
400,-0.6110,-0.5140,-0.1139,+0.0117,-0.3494,+0.8248,+0.4932,2026-09-04 07:25:39
420,-0.6253,-0.5072,-0.0992,+0.0268,-0.3199,+0.8347,+0.5275,2026-09-04 07:49:20
440,-0.6294,-0.5219,-0.0911,+0.0325,-0.3145,+0.8290,+0.5428,2026-09-04 08:08:33
460,-0.6175,-0.5181,-0.0992,+0.0478,-0.3494,+0.8461,+0.5224,2026-09-04 08:30:41
480,-0.6080,-0.4908,-0.0992,-0.0246,-0.3493,+0.8499,+0.4875,2026-09-04 08:53:25
500,-0.6484,-0.5113,-0.1251,-0.1187,-0.3552,+0.8327,+0.5126,2026-09-04 09:15:36
520,-0.6316,-0.5178,-0.1044,-0.0799,-0.3393,+0.8369,+0.4972,2026-09-04 09:34:11
540,-0.6438,-0.5137,-0.1055,-0.0809,-0.4005,+0.8394,+0.5216,2026-09-04 10:07:54
560,-0.6014,-0.4800,-0.1002,-0.0256,-0.3766,+0.8269,+0.5023,2026-09-04 10:23:00
580,-0.6372,-0.4829,-0.0975,-0.0097,-0.3379,+0.8442,+0.5343,2026-09-04 10:57:04
600,-0.6329,-0.5024,-0.0683,+0.0214,-0.3586,+0.8484,+0.5259,2026-09-04 11:30:29
620,-0.6220,-0.5215,-0.0913,+0.0094,-0.3536,+0.8423,+0.5293,2026-09-04 12:00:25
